#Digilent WaveForms Logger;;;;
#Device Name: Discovery;;;;
#Serial Number: SN:210244449844;;;;
#Date Time: 2017-02-04 17:52::30.935;;;;
;;;;
Time (s);C1 DC (V);C2 DC (V);Sense-Power (W);Current (A)
257;-0.004815163;12.59454639;2.11E-06;-0.000437742
258;-0.004166858;12.59411497;1.58E-06;-0.000378805
259;-0.004087623;12.59413307;1.52E-06;-0.000371602
260;-0.004636023;12.59381264;1.95E-06;-0.000421457
261;-0.004208844;12.59357495;1.61E-06;-0.000382622
262;-0.004287648;12.59437787;1.67E-06;-0.000389786
263;-0.004022814;12.59420117;1.47E-06;-0.00036571
264;-0.004555712;12.59441882;1.89E-06;-0.000414156
265;-0.004786096;12.59476986;2.08E-06;-0.0004351
266;-0.004472386;12.59504741;1.82E-06;-0.000406581
267;-0.004686622;12.59427013;2.00E-06;-0.000426057
268;-0.004823776;12.59351461;2.12E-06;-0.000438525
269;-0.004272145;12.59458108;1.66E-06;-0.000388377
270;-0.004044345;12.59456061;1.49E-06;-0.000367668
271;-0.003915588;12.59522304;1.39E-06;-0.000355963
272;-0.003968124;12.5953073;1.43E-06;-0.000360739
273;-0.003734295;12.59532691;1.27E-06;-0.000339481
274;-0.003549127;12.5953101;1.15E-06;-0.000322648
275;-0.003849703;12.59551891;1.35E-06;-0.000349973
276;-0.003508863;12.59499181;1.12E-06;-0.000318988
277;-0.003766592;12.59443412;1.29E-06;-0.000342417
278;-0.003826234;12.59441903;1.33E-06;-0.000347839
279;-0.003703936;12.59479916;1.25E-06;-0.000336721
280;-0.00355171;12.59449209;1.15E-06;-0.000322883
281;-0.003467093;12.59442464;1.09E-06;-0.00031519
282;-0.00268637;12.5945507;6.56E-07;-0.000244215
283;-0.002837735;12.59443261;7.32E-07;-0.000257976
284;-0.003193215;12.59432055;9.27E-07;-0.000290292
285;-0.003312714;12.59453712;9.98E-07;-0.000301156
286;-0.002884242;12.59478817;7.56E-07;-0.000262204
287;-0.003532763;12.59501207;1.13E-06;-0.00032116
288;-0.003245321;12.5945716;9.57E-07;-0.000295029
289;-0.003358145;12.59428586;1.03E-06;-0.000305286
290;-0.003368695;12.59468517;1.03E-06;-0.000306245
291;-0.003316805;12.5945423;1.00E-06;-0.000301528
292;-0.00319666;12.59422681;9.29E-07;-0.000290605
293;-0.001899404;12.59399667;3.28E-07;-0.000172673
294;-0.002256607;12.59409385;4.63E-07;-0.000205146
295;-0.002817926;12.59477374;7.22E-07;-0.000256175
