#Digilent WaveForms Logger
#Device Name: Discovery
#Serial Number: SN:210244449844
#Date Time: 2017-02-06 09:28::28.907

Time (s),C1 DC (V),C2 DC (V),Sense-Power (W),Current (A),Battery Power (W)
107,0.073680605436569874,12.455557553308031,0.00049353014704540824,0.0066982368578699884,0.083430274688888792
108,0.072789212409303861,12.456146710941718,0.00048166085846970507,0.0066172011281185328,0.082424828067653486
109,0.072290549063624698,12.455654525120353,0.0004750839530836663,0.0065718680966931542,0.081856918597070172
110,0.072092031099594153,12.45528646321922,0.00047247826800589555,0.0065538210090540141,0.081629718096432186
111,0.073361081945650775,12.455834246212754,0.00048925894038513533,0.0066691892677864344,0.083070316076168826
112,0.073686634181690414,12.455596773018684,0.00049361091427511516,0.0066987849256082196,0.08343736390255195
113,0.073876109028053125,12.455632544843171,0.00049615268046589026,0.0067160099116411933,0.083652151626927351
114,0.072398635850985202,12.455557553308013,0.00047650567937123272,0.006581694168271382,0.081978670511175911
115,0.072416722086323312,12.455595049075963,0.00047674378524798064,0.0065833383714839376,0.081999396826247142
116,0.072627297540598573,12.455581688514265,0.00047952039527733055,0.0066024815945998705,0.082237748848450601
117,0.073172468348579656,12.454917539346495,0.00048674637492944467,0.006652042577143605,0.082850641766545538
118,0.073189693334613587,12.454816688661664,0.00048697556458316186,0.0066536084849648713,0.082869473998361323
119,0.072936486039907961,12.454875302734958,0.00048361190871360811,0.0066305896399916327,0.082583167149702055
120,0.071315614854107048,12.454828756264984,0.00046235608381993941,0.0064832377140097317,0.080747615514150065
121,0.071144226243069819,12.454812809789006,0.00046013644797500945,0.0064676569311881652,0.080553456395883016
122,0.071947771841560676,12.45487616470662,0.00047058926117866105,0.0065407065310509709,0.081463689873927658
123,0.073253856407591217,12.454799018242465,0.00048782977078036299,0.0066594414915992018,0.082942005351612877
124,0.072715575594028081,12.454957190043167,0.00048068681217916471,0.0066105068721843711,0.082333580097542491
125,0.072598015064340146,12.455221384358607,0.00047913379920746894,0.0065998195513036493,0.08220221360830525
126,0.070525418619803229,12.455070108331302,0.00045216678831804435,0.0064114016927093844,0.079854457575369367
127,0.070538767983977957,12.455095967481405,0.00045233798079067944,0.0064126152712707237,0.079869738606213658
128,0.071061976934766999,12.455090795651,0.000459073142352487,0.0064601797213424544,0.080462124985543643
129,0.07304672595053005,12.454781778809162,0.00048507492473562184,0.0066406114500481865,0.082707366488211642
130,0.072996342866380723,12.454733939381633,0.00048440600653329202,0.0066360311696709749,0.082650002631695488
131,0.072650120647091865,12.454874871749103,0.00047982182091245489,0.0066045564224628964,0.082258923825182281
132,0.071194609327220312,12.454793415426682,0.00046078839975050229,0.0064722372115654826,0.080610377405685329
133,0.071356524195937743,12.45479772528501,0.0004628866859386772,0.006486956745085249,0.080793734112710014
134,0.07096508638832541,12.454736094310825,0.00045782213510022624,0.0064513714898477648,0.080350129352414756
135,0.071873273776966812,12.454896852026588,0.00046961522576534771,0.0065339339797242553,0.081379473755417195
